Package/Class,Method,Classification,Type,Resource
java.io.OutputStream,write(),Sink,SINK_FILE,FlowDroid
java.io.FileOutputStream,write(),Sink,SINK_FILE,FlowDroid
java.io.Writer,write(),Sink,SINK_FILE,FlowDroid
java.io.Writer,append(),Sink,SINK_FILE,FlowDroid
java.io.OutputStreamWriter,append(),Sink,SINK_FILE,FlowDroid
java.io.InputStream,read(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.InputStream,readNBytes(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.InputStream,readAllBytes(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.InputStream,transferTo(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.BufferedReader,read(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.BufferedReader,lines(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.BufferedReader,readLine(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.BufferedWriter,write(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.ByteArrayOutputStream,writeTo(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.CharArrayWriter,append(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.Console,format(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.Console,printf(),Sink,SINK_FILE,Java SE 10 JavaDoc
java.io.Console,readLine(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.Console,readPassword(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,readFully(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,readUnsignedShort(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,readUnsignedByte(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,readShort(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,readLong(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,readLine(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,readInt(),Source,SOURCE_FILE,Java SE 10 JavaDoc
java.io.DataInputStream,readFloat(),Source,SOURCE_FILE,Java SE 10 JavaDoc
