Package/Class,Method,Classification,Type,Resource
java.net.URLConnection,getInputStream(),Both,SOURCE_NETWORK,FlowDroid
java.net.URLConnection,connect(),Sink,SINK_NETWORK,FlowDroid
java.net.URLConnection,getOutputStream(),Sink,SINK_NETWORK,FlowDroid
java.net.URL,openStream(),Both,SINK_NETWORK,FlowDroid
java.net.URL,getContent(),Both,SOURCE_NETWORK,FlowDroid
java.net.URL,set(),Sink,SINK_NETWORK,FlowDroid
java.net.URL,<init>(),Sink,SINK_NETWORK,FlowDroid
java.net.Socket,connect(),Sink,SINK_NETWORK,FlowDroid
java.net.Authenticator,getRequestingHost(),Source_Weak,SOURCE_NETWORK,Java SE 10 JavaDoc
java.net.Authenticator,getRequestingPort(),Source_Weak,SOURCE_NETWORK,Java SE 10 JavaDoc
java.net.CacheRequest,abort(),Questionable,,Java SE 10 JavaDoc
java.net.CacheRequest,getBody(),Source_Weak,,Java SE 10 JavaDoc
java.net.CacheResponse,getBody(),Source/Questionable,,Java SE 10 JavaDoc
java.net.CacheResponse,getHeaders(),Source/Questionable,,Java SE 10 JavaDoc
java.net.ContentHandler,getContent(),Source/Questionable,,Java SE 10 JavaDoc
java.net.CookieHandler,get(),Source/Questionable,,Java SE 10 JavaDoc
java.net.CookieHandler,getDefault(),Source/Questionable,,Java SE 10 JavaDoc
java.net.CookieHandler,put(),Questionable,,Java SE 10 JavaDoc
java.net.CookieHandler,setDefault(),Questionable,,Java SE 10 JavaDoc
java.net.CookieManager,getCookieStore(),Source/Questionable,,Java SE 10 JavaDoc
java.net.CookieManager,setCookiePolicy(),Questionable,,Java SE 10 JavaDoc
java.net.DatagramPacket,getAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.DatagramPacket,getData(),Source/Questionable,,Java SE 10 JavaDoc
java.net.DatagramPacket,getLength(),Source/Questionable,,Java SE 10 JavaDoc
java.net.DatagramPacket,getOffset(),Source/Questionable,,Java SE 10 JavaDoc
java.net.DatagramPacket,getPort(),Source/Questionable,,Java SE 10 JavaDoc
java.net.DatagramPacket,getSocketAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.DatagramPacket,setAddress(),Questionable,,Java SE 10 JavaDoc
java.net.DatagramPacket,setData(),Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.DatagramPacket,setLength(),Questionable,,Java SE 10 JavaDoc
java.net.DatagramPacket,setPort(),Questionable,,Java SE 10 JavaDoc
java.net.DatagramPacket,setSocketAddress(),Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.DatagramSocket,bind(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.DatagramSocket,connect(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.DatagramSocket,getChannel(),Source/Questionable,,Java SE 10 JavaDoc
java.net.DatagramSocket,getInetAddress(),Source/Questionable,,Java SE 10 JavaDoc
java.net.DatagramSocket,getLocalAddress(),Source,,Java SE 10 JavaDoc
java.net.DatagramSocket,getLocalPort(),Source,,Java SE 10 JavaDoc
java.net.DatagramSocket,getLocalSocketAddress(),Source,,Java SE 10 JavaDoc
java.net.DatagramSocket,getPort(),Source/Questionable,,Java SE 10 JavaDoc
java.net.DatagramSocket,receive(),Questionable,SOURCE_NETWORK,Java SE 10 JavaDoc
java.net.DatagramSocket,send(),Sink,SINK_NETWORK,Java SE 10 JavaDoc
java.net.DatagramSocketImpl,connect(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc
java.net.DatagramSocketImpl,getFileDescriptor(),Source,,Java SE 10 JavaDoc
java.net.DatagramSocketImpl,getLocalPort(),Source,,Java SE 10 JavaDoc
java.net.HttpCookie,getComment(),Source/Questionable,,Java SE 10 JavaDoc
