Package/Class,Method,Classification,Type,Resource,Notes
java.nio.channels.AsynchronousChannelGroup,withCachedThreadPool(),Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousChannelGroup,withFixedThreadPool(),Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousChannelGroup,withThreadPool(),Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousFileChannel,lock(),Questionable,,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousFileChannel,open(),Sink/Questionable,SOURCE_FILE,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousFileChannel,read(),Both,SOURCE_FILE,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousFileChannel,write(),Sink/Questionable,SINK_FILE,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousServerSocketChannel,bind(),Questionable,,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousServerSocketChannel,open(),Questionable,SINK_NETWORK,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousServerSocketChannel,accept(),Questionable,SINK_NETWORK,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousServerSocketChannel,getLocalAddress(),Source,,Java SE 10 JavaDoc,abstract
java.nio.channels.AsynchronousSocketChannel,bind(),Questionable,,Java SE 10 JavaDoc,abstract
java.nio.channels.AsynchronousSocketChannel,read(),Both/Questionable,SOURCE_NETWORK,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousSocketChannel,getLocalAddress(),Source,,Java SE 10 JavaDoc,abstract
java.nio.channels.AsynchronousSocketChannel,getRemoteAddress(),Source,,Java SE 10 JavaDoc,abstract
java.nio.channels.AsynchronousSocketChannel,open(),Questionable,SINK_NETWORK,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousSocketChannel,shutdownInput(),Questionable,,Java SE 10 JavaDoc,
java.nio.channels.AsynchronousSocketChannel,write(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc,
java.nio.channels.DatagramChannel,bind(),Questionable,,Java SE 10 JavaDoc,abstract
java.nio.channels.DatagramChannel,getLocalAddress(),Source,,Java SE 10 JavaDoc,abstract
java.nio.channels.DatagramChannel,getRemoteAddress(),Source,,Java SE 10 JavaDoc,abstract
java.nio.channels.DatagramChannel,open(),Questionable,SINK_NETWORK,Java SE 10 JavaDoc,
java.nio.channels.DatagramChannel,read(),Both?,SOURCE_NETWORK,Java SE 10 JavaDoc,
java.nio.channels.DatagramChannel,receive(),Both?,SOURCE_NETWORK,Java SE 10 JavaDoc,abstract
java.nio.channels.DatagramChannel,socket(),Questionable,,Java SE 10 JavaDoc,
java.nio.channels.DatagramChannel,write(),Sink/Questionable,SINK_NETWORK,Java SE 10 JavaDoc,
java.nio.channels.FileChannel,force(),Sink/Questionable,,Java SE 10 JavaDoc,abstract
java.nio.channels.FileChannel,lock(),Questionable,,Java SE 10 JavaDoc,
java.nio.channels.FileChannel,map(),Sink/Questionable,SOURCE_FILE,Java SE 10 JavaDoc,
java.nio.channels.FileChannel,read(),Source,SOURCE_FILE,Java SE 10 JavaDoc,
java.nio.channels.FileChannel,write(),Sink,SINK_FILE,Java SE 10 JavaDoc,
java.nio.channels.FileChannel,truncate(),Sink/Questionable,,Java SE 10 JavaDoc,abstract
java.nio.channels.FileChannel,transferTo(),Both?,SINK_FILE,Java SE 10 JavaDoc,abstract
java.nio.channels.FileChannel,transferFrom(),Both?,SOURCE_FILE,Java SE 10 JavaDoc,abstract
java.nio.channels.MembershipKey,sourceAddress(),Source,,Java SE 10 JavaDoc,abstract
java.nio.channels.MembershipKey,unblock(),Questionable,,Java SE 10 JavaDoc,abstract
java.nio.channels.MembershipKey,networkInterface(),Source/Questionable,,Java SE 10 JavaDoc,abstract
java.nio.channels.Pipe,sink(),Sink,SINK_FILE,Java SE 10 JavaDoc,abstract
java.nio.channels.Pipe,source(),Source,SOURCE_FILE,Java SE 10 JavaDoc,abstract
java.nio.channels.SelectableChannel,keyFor(),Source/Questionable,,Java SE 10 JavaDoc,abstract
java.nio.channels.ServerSocketChanel,bind(),Questionable,,Java SE 10 JavaDoc,
java.nio.channels.ServerSocketChanel,accept(),Sink,SINK_NETWORK,Java SE 10 JavaDoc,
java.nio.channels.ServerSocketChanel,open(),Sink,SINK_NETWORK,Java SE 10 JavaDoc,
java.nio.channels.ServerSocketChanel,getLocalAddress(),Source,,Java SE 10 JavaDoc,abstract
java.nio.channels.SocketChanel,bind(),Questionable,,Java SE 10 JavaDoc,abstract
java.nio.channels.SocketChanel,getLocalAddress(),Source,,Java SE 10 JavaDoc,abstract
java.nio.channels.SocketChanel,getRemoteAddress(),Source,,Java SE 10 JavaDoc,abstract
java.nio.channels.SocketChanel,read(),Both?,SOURCE_NETWORK,Java SE 10 JavaDoc,
java.nio.channels.SocketChanel,shutdownInput(),Questionable,,Java SE 10 JavaDoc,
java.nio.channels.SocketChanel,shutdownOutput(),Questionable,,Java SE 10 JavaDoc,
java.nio.channels.SocketChanel,write(),Sink,SINK_NETWORK,Java SE 10 JavaDoc,
java.nio.file.Files,copy(),Both?/Questionable,SINK_FILE,Java SE 10 JavaDoc,
java.nio.file.Files,write(),Sink,SINK_FILE,Java SE 10 JavaDoc,
java.nio.file.Files,setPosixFilePermissions(),Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,setOwner(),Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,setLastModifiedTime(),Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,setAttribute(),Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,readSymbolicLink(),Source,SOURCE_FILE,Java SE 10 JavaDoc,
java.nio.file.Files,readAttributes(),Source,SOURCE_FILE,Java SE 10 JavaDoc,
java.nio.file.Files,readAllLines(),Source,SOURCE_FILE,Java SE 10 JavaDoc,
java.nio.file.Files,readAllBytes(),Source,SOURCE_FILE,Java SE 10 JavaDoc,
java.nio.file.Files,probeContentType(),Source/Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,newOutputStream(),Sink/Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,newInputStream(),Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,newDirectoryStream(),Source,,Java SE 10 JavaDoc,
java.nio.file.Files,newByteChannel(),Both?,,Java SE 10 JavaDoc,
java.nio.file.Files,newBufferedWriter(),Sink?,,Java SE 10 JavaDoc,
java.nio.file.Files,newBufferedReader(),Source,,Java SE 10 JavaDoc,
java.nio.file.Files,move(),Questionable,SINK_FILE,Java SE 10 JavaDoc,
java.nio.file.Files,list(),Source,,Java SE 10 JavaDoc,
java.nio.file.Files,lines(),Source,,Java SE 10 JavaDoc,
java.nio.file.Files,getPosixFilePermissions(),Source,,Java SE 10 JavaDoc,
java.nio.file.Files,getLastModifiedTime(),Source,,Java SE 10 JavaDoc,
java.nio.file.Files,getOwner(),Source,,Java SE 10 JavaDoc,
java.nio.file.Files,getFileStore(),Source,,Java SE 10 JavaDoc,
java.nio.file.Files,getAttribute(),Source,,Java SE 10 JavaDoc,
java.nio.file.Files,find(),Source,,Java SE 10 JavaDoc,
java.nio.file.Files,delete(),Questionable,SINK_FILE,Java SE 10 JavaDoc,
java.nio.file.Files,deleteIfExists(),Questionable,SINK_FILE,Java SE 10 JavaDoc,
java.nio.file.Files,createDirectories(),Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,createDirectory(),Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,createFile(),Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,createLink(),Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,createSymbolicLink(),Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,createTempDirectory(),Questionable,,Java SE 10 JavaDoc,
java.nio.file.Files,createTempFile(),Questionable,,Java SE 10 JavaDoc,abstract
java.nio.file.FileSystem,getRootDirectories(),Source,,Java SE 10 JavaDoc,abstract
java.nio.file.FileSystem,getPathMatcher(),Source,,Java SE 10 JavaDoc,abstract
java.nio.file.FileSystem,getPath(),Source,,Java SE 10 JavaDoc,abstract
java.nio.file.FileSystem,getFileStores(),Source,,Java SE 10 JavaDoc,abstract
java.nio.file.FileSystem,getSeparator(),Source,,Java SE 10 JavaDoc,abstract
