Package/Class,Method,Classification,Type,Resource
java.security.AccessController,checkPermission(),Source/Questionable,SINK_SYSTEM,Java SE 10 JavaDoc
java.security.AccessController,doPrivileged(),Questionable,SINK_SYSTEM,Java SE 10 JavaDoc
java.security.AllPermission,getActions(),Source/Questionable,,Java SE 10 JavaDoc
java.security.BasicPermission,getActions(),Source/Questionable,,Java SE 10 JavaDoc
java.security.CodeSigner,getSignerCertPath(),Source/Questionable,,Java SE 10 JavaDoc
java.security.CodeSource,getCertificates(),Source/Questionable,,Java SE 10 JavaDoc
java.security.CodeSource,getCodeSigners(),Source/Questionable,,Java SE 10 JavaDoc
java.security.CodeSource,getLocation(),Source/Questionable,,Java SE 10 JavaDoc
java.security.DigestInputStream,getMessageDigest(),Both,,Java SE 10 JavaDoc
java.security.DigestInputStream,read(),Both,SOURCE_FILE,Java SE 10 JavaDoc
java.security.DigestInputStream,setMessageDigest(),Sink/Questionable,,Java SE 10 JavaDoc
java.security.DigestOutputStream,getMessageDigest(),Both,,Java SE 10 JavaDoc
java.security.DigestOutputStream,setMessageDigest(),Sink/Questionable,,Java SE 10 JavaDoc
java.security.DigestOutputStream,write(),Sink/Questionable,SINK_FILE,Java SE 10 JavaDoc
java.security.KeyFactory,generatePrivate(),Questionable,,Java SE 10 JavaDoc
java.security.KeyFactory,getAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
java.security.KeyFactory,getKeySpec(),Source/Questionable,,Java SE 10 JavaDoc
java.security.KeyFactory,translateKey(),Source/Questionable,,Java SE 10 JavaDoc
java.security.KeyPair,getPrivate(),Source,SOURCE_ACCOUNT,Java SE 10 JavaDoc
java.security.KeyPairGenerator,getAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
java.security.KeyPairGenerator,initialize(),Questionable,,Java SE 10 JavaDoc
java.security.KeyPairGenerator,generateKeyPair(),Questionable,,Java SE 10 JavaDoc
java.security.KeyPairGenerator,genKeyPair(),Questionable,,Java SE 10 JavaDoc
java.security.KeyStore,store(),Questionable,SINK_ACCOUNT,Java SE 10 JavaDoc
java.security.KeyStore,setEntry(),Questionable,SINK_ACCOUNT,Java SE 10 JavaDoc
java.security.KeyStore,setKeyEntry(),Questionable,SINK_ACCOUNT,Java SE 10 JavaDoc
java.security.KeyStore,setCertificateEntry(),Questionable,SINK_ACCOUNT,Java SE 10 JavaDoc
java.security.KeyStore,load(),Questionable,SINK_ACCOUNT,Java SE 10 JavaDoc
java.security.KeyStore,getKey(),Source/Questionable,SOURCE_ACCOUNT,Java SE 10 JavaDoc
java.security.KeyStore,getEntry(),Source/Questionable,SOURCE_ACCOUNT,Java SE 10 JavaDoc
java.security.KeyStore,getCertificateChain(),Source/Questionable,SOURCE_ACCOUNT,Java SE 10 JavaDoc
java.security.KeyStore,getCertificateAlias(),Source/Questionable,SOURCE_ACCOUNT,Java SE 10 JavaDoc
java.security.KeyStore,getCertificate(),Source/Questionable,SOURCE_ACCOUNT,Java SE 10 JavaDoc
java.security.MessageDigest,digest(),Source/Questionable,,Java SE 10 JavaDoc
java.security.MessageDigest,getAlgorithm(),Source/Qestionable,,Java SE 10 JavaDoc
java.security.Permission,getAction(),Source/Questionable,,Java SE 10 JavaDoc
java.security.PKCS12Attribute,getEncoded(),Source/Questionable,,Java SE 10 JavaDoc
java.security.PKCS12Attribute,getValue(),Source/Questionable,,Java SE 10 JavaDoc
java.security.PKCS12Attribute,getName(),Source/Questionable,,Java SE 10 JavaDoc
java.security.Policy,setPolicy(),Questionable,,Java SE 10 JavaDoc
java.security.Provider,configure(),Questionable,,Java SE 10 JavaDoc
java.security.Provider,getInfo(),Source/Questionable,,Java SE 10 JavaDoc
java.security.Provider,getName(),Source/Questionable,,Java SE 10 JavaDoc
java.security.Provider,getService(),Source/Questionable,,Java SE 10 JavaDoc
java.security.Provider,getServices(),Source/Questionable,,Java SE 10 JavaDoc
java.security.Provider,keySet(),Source/Questionable,,Java SE 10 JavaDoc
java.security.Provider,load(),Both/Questionable,,Java SE 10 JavaDoc
java.security.Provider,put(),Questionable,,Java SE 10 JavaDoc
java.security.Provider,putAll(),Questionable,,Java SE 10 JavaDoc
java.security.Provider,putIfAbsent(),Questionable,,Java SE 10 JavaDoc
java.security.Provider,putService(),Questionable,,Java SE 10 JavaDoc
java.security.Provider,replace(),Questionable,,Java SE 10 JavaDoc
java.security.Provider,replaceAll(),Questionable,,Java SE 10 JavaDoc
java.security.Provider,values(),Questionable,,Java SE 10 JavaDoc
java.security.Provider,remove(),Questionable,,Java SE 10 JavaDoc
java.security.Provider,removeService(),Questionable,,Java SE 10 JavaDoc
java.security.SecureRandom,setSeed(),Questionable,,Java SE 10 JavaDoc
java.security.SecureRandom,getSeed(),Source/Questionable,,Java SE 10 JavaDoc
java.security.SecureRandom,generateSeed(),Questionable,,Java SE 10 JavaDoc
java.security.Signature,getAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
java.security.Signature,initSign(),Questionable,,Java SE 10 JavaDoc
java.security.Signature,initVerify(),Questionable,,Java SE 10 JavaDoc
java.security.Signature,sign(),Sink/Questionable,,Java SE 10 JavaDoc
java.security.Signature,verify(),Questionable,,Java SE 10 JavaDoc
java.security.SignedObject,getSignature(),Source/Questionable,,Java SE 10 JavaDoc
java.security.SignedObject,getAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
java.security.SignedObject,getObject(),Source/Questionable,,Java SE 10 JavaDoc
java.security.Signer,getPrivateKey(),Source/Questionable,SOURCE_ACCOUNT,Java SE 10 JavaDoc
java.security.Signer,setKeyPair(),Questionable,SINK_ACCOUNT,Java SE 10 JavaDoc
java.security.URIParameter,getURI(),Source/Questionable,,Java SE 10 JavaDoc
java.security.cert.Certificate,writeReplace(),Questionable,,Java SE 10 JavaDoc
java.security.cert.CetificateFactory,generateCertificate,Questionable,,Java SE 10 JavaDoc
java.security.cert.CetificateFactory,generateCertificates,Questionable,,Java SE 10 JavaDoc
java.security.cert.CetificateFactory,generateCertPath,Questionable,,Java SE 10 JavaDoc
java.security.cert.CetificateFactory,generateCRLs,Questionable,,Java SE 10 JavaDoc
java.security.cert.CertPath,writeReplace(),Questionable,,Java SE 10 JavaDoc
