Sources,SourceType,Sinks,SinkType,SourceSinks,SourceSinkType,Dangers,DangerType
robotparser.RobotFileParser.read,SOURCE_NETWORK,asyncore.dispatcher.send,SINK_NETWORK,urllib.urlopen,SOURCE_NETWORK,webbrower.open,SINK_NETWORK
asyncore.dispatcher.recv,SOURCE_NETWORK,"socket.send(bytes[, flags])",SINK_NETWORK,urllib.URLopener,SOURCE_NETWORK,webbrower.open_new,SINK_NETWORK
mimetypes.MimeTypes.read,SOURCE_NETWORK,"socket.sendall(bytes[, flags])",SINK_NETWORK,urllib.FancyURLopener,SOURCE_NETWORK,webbrower.open_new_tab,SINK_NETWORK
mimetypes.MimeTypes.readfp,SOURCE_NETWORK,"socket.sendto(bytes, address)",SINK_NETWORK,urllib2.urlopen,SOURCE_NETWORK,wsgiref.simple_server.WSGIServer,SINK_NETWORK
mimetypes.MimeTypes.read_windows_registry,SOURCE_NETWORK,"socket.sendto(bytes, flags, address)",SINK_NETWORK,urllib2.Request,SOURCE_NETWORK,wsgiref.simple_server.make_server,SINK_NETWORK
mimetypes.MimeTypes.read_mime_types,SOURCE_NETWORK,"socket.sendmsg(buffers[, ancdata[, flags[, address]]])",SINK_NETWORK,urllib2.OpenerDirector.open,SOURCE_NETWORK,SocketServer.UDPServer,SINK_NETWORK
urllib.urlretrieve,SOURCE_NETWORK,"socket.sendmsg_afalg([msg, ]*, op[, iv[, assoclen[, flags]]])",SINK_NETWORK,urllib2.FTPHandler.ftp_open,SOURCE_NETWORK,SocketServer.TCPServer,SINK_NETWORK
socket.getaddrinfo,SOURCE_NETWORK,"socket.sendfile(file, offset=0, count=None)",SINK_NETWORK,urllib2.HTTPHandler.http_open,SOURCE_NETWORK,SocketServer.UnixStreamServer,SINK_NETWORK
socket.gethostbyname,SOURCE_NETWORK,ssl.SSLSocket.write(buf),SINK_NETWORK,urllib2.FileHandler.file_open,SOURCE_NETWORK,SocketServer.UnixDatagramServer,SINK_NETWORK
socket.gethostname,SOURCE_NETWORK,ssl.SSLSocket.send(),SINK_NETWORK,urllib2.HTTPSHandler.https_open,SOURCE_NETWORK,SocketServer.BaseServer,SINK_NETWORK
"socket.recv(bufsize[, flags])",SOURCE_NETWORK,ssl.SSLSocket.sendall(),SINK_NETWORK,httplib.HTTPConnection,SOURCE_NETWORK,BaseHTTPServer.HTTPServer,SINK_NETWORK
"socket.recvfrom(bufsize[, flags])",SOURCE_NETWORK,ssl.SSLSocket.sendfile(),SINK_NETWORK,httplib.HTTPSConnection,SOURCE_NETWORK,xmlrpclib.ServerProxy,SINK_NETWORK
"socket.recvmsg(bufsize[, ancbufsize[, flags]])",SOURCE_NETWORK,"os.sendfile(out, in, offset, count, [headers, ][trailers, ]flags=0)",SINK_FILE,ftplib.FTP_TLS,SOURCE_NETWORK,SimpleXMLRPCServer.SimpleXMLRPCServer,SINK_NETWORK
"socket.recvmsg_into(buffers[, ancbufsize[, flags]])",SOURCE_NETWORK,"os.write(fd, str)",SINK_FILE,ftplib.FTP,SOURCE_NETWORK,DocXMLRPCServer.DocXMLRPCServer,SINK_NETWORK
