date,Bower (JS),Clojars (Clojure),CPAN,CPAN (search),CRAN (R),Crates.io (Rust),Drupal (php),DUB (dlang),GoDoc (Go),Gopm (go),Hackage (Haskell),Hex.pm (Elixir/Erlang),Julia,LuaRocks (Lua),Maven Central (Java),MELPA (Emacs),Nimble (Nim),npm (node.js),nuget (.NET),Packagist (PHP),Pear (PHP),Perl 6 Ecosystem (perl 6),PyPI,Rubygems.org,Vim Scripts
2010/03/20,,,17607,,,,,,,,,,,,,,,,,,,,,11457,
2010/03/21,,,,,,,,,,,,,,,,,,,,,,,,,
2010/03/22,,,17611,,,,,,,,,,,,,,,,,,,,,11500,
2010/03/23,,,17613,,,,,,,,,,,,,,,,,,,,9362,11531,
2010/03/24,,,17619,,,,,,,,,,,,,,,,,,,,9375,11556,
2010/03/25,,,17627,,,,,,,,,,,,,,,,,,,,9391,11584,
2010/03/26,,,17637,,,,,,,,,,,,,,,,,,,,9398,11620,
2010/03/27,,,17642,,,,,,,,,,,,,,,,,,,,9403,11659,
2010/03/28,,,17650,,,,,,,,,,,,,,,,,,,,9414,11687,
2010/03/29,,,17660,,,,,,,,,,,,,,,,,,,,9428,11717,
2010/03/30,,,17692,,,,,,,,,,,,,,,,,,,,9436,11736,
2010/03/31,,,17724,,,,,,,,,,,,,,,,,,,,9444,11755,
2010/04/01,,,17733,,,,,,,,,,,,,,,,,,,,9445,11783,
2010/04/02,,,17735,,,,,,,,,,,,,,,,,,,,9461,11808,
2010/04/03,,,17718,,,,,,,,,,,,,,,,,,,,9475,11829,
2010/04/04,,,,,,,,,,,,,,,,,,,,,,,,,
2010/04/05,,,17718,,,,,,,,,,,,,,,,,,,,9476,11869,
2010/04/06,,,17718,,,,,,,,,,,,,,,,,,,,9491,11888,
2010/04/07,,,,,,,,,,,,,,,,,,,,,,,,,
2010/04/08,,,,,,,,,,,,,,,,,,,,,,,,,
2010/04/09,,,17574,,,,,,,,,,,,,,,,,,,,9529,11985,
2010/04/10,,,,,,,,,,,,,,,,,,,,,,,,,
2010/04/11,,,,,,,,,,,,,,,,,,,,,,,,,
2010/04/12,,,17573,,,,,,,,,,,,,,,,,,,,9550,12043,
2010/04/13,,,17569,,,,,,,,,,,,,,,,,,,,9561,12071,
2010/04/14,,,17577,,,,,,,,,,,,,,,,,,,,9572,12116,
2010/04/15,,,17584,,,,,,,,,,,,,,,,,,,,9588,12131,
2010/04/16,,,,,,,,,,,,,,,,,,,,,,,,,
2010/04/17,,,,,,,,,,,,,,,,,,,,,,,,,
