source,target,distance
phpunit/phpunit,aphpunit/aphpunit,2
alchemy/zippy,alchemy/zippy,0
algolia/algoliasearch-client-php,algolia/algoliasearch-client-php,0
abraham/twitteroauth,abraham/twitteroauth,0
anahkiasen/underscore-php,anahkiasen/underscore-php,0
a2lix/translation-form-bundle,a2lix/translation-form-bundle,0
apache/log4php,apache/log4php,0
alcaeus/mongo-php-adapter,alcaeus/mongo-php-adapter,0
amazonwebservices/aws-sdk-for-php,amazonwebservices/aws-sdk-for-php,0
alchemy/binary-driver,alchemy/binary-driver,0
andrewsville/php-token-reflection,andrewsville/php-token-reflection,0
almasaeed2010/adminlte,almasaeed2010/adminlte,0
akeneo/phpspec-skip-example-extension,akeneo/phpspec-skip-example-extension,0
akeneo/batch-bundle,akeneo/batch-bundle,0
ajgl/breakpoint-twig-extension,ajgl/breakpoint-twig-extension,0
akeneo/php-coupling-detector,akeneo/php-coupling-detector,0
amzn/amazon-pay-sdk-php,amzn/amazon-pay-sdk-php,0
aloha/twilio,aloha/twilio,0
adoy/oauth2,adoy/oauth2,0
anahkiasen/html-object,anahkiasen/html-object,0
antecedent/patchwork,antecedent/patchwork,0
99designs/phumbor,99designs/phumbor,0
anhskohbo/no-captcha,anhskohbo/no-captcha,0
aferrandini/phpqrcode,aferrandini/phpqrcode,0
acquia/lightning,acquia/lightning,0
adldap2/adldap2,adldap2/adldap2,0
adldap2/adldap2,adldap/adldap,2
analog/analog,analog/analog,0
alexandresalome/php-selenium,alexandresalome/php-selenium,0
altorouter/altorouter,altorouter/altorouter,0
akeneo/measure-bundle,akeneo/measure-bundle,0
anahkiasen/former,anahkiasen/former,0
adoy/fastcgi-client,adoy/fastcgi-client,0
adyen/php-api-library,adyen/php-api-library,0
amphp/amp,amphp/amp,0
acquia/blt,acquia/blt,0
aliyuncs/oss-sdk-php,aliyuncs/oss-sdk-php,0
acquia/http-hmac-php,acquia/http-hmac-php,0
2amigos/yii2-gallery-widget,2amigos/yii2-gallery-widget,0
anlutro/curl,anlutro/curl,0
andres-montanez/magallanes,andres-montanez/magallanes,0
