package name,version,source,downloads,language,use_count
org.hamcrest/hamcrest-core,,maven,,java,81654
org.hamcrest/hamcrest-library,,maven,,java,81635
junit/junit,,maven,,java,81590
org.slf4j/slf4j-api,,maven,,java,60260
javax.activation/activation,,maven,,java,55271
oro/oro,,maven,,java,54860
org.mockito/mockito-core,,maven,,java,54850
javax.mail/mail,,maven,,java,54743
log4j/log4j,,maven,,java,54559
com.google.code.findbugs/jsr305,,maven,,java,50644
org.slf4j/slf4j-log4j12,,maven,,java,50353
joda-time/joda-time,,maven,,java,49885
commons-lang/commons-lang,,maven,,java,49562
javax.servlet/javax.servlet-api,,maven,,java,49026
com.google.j2objc/j2objc-annotations,,maven,,java,48559
com.google.errorprone/error_prone_annotations,,maven,,java,48517
com.google.guava/guava,,maven,,java,48488
org.codehaus.janino/commons-compiler,,maven,,java,47628
org.codehaus.janino/janino,,maven,,java,47626
javassist/javassist,,maven,,java,47456
com.sun.mail/javax.mail,,maven,,java,47450
org.fusesource.jansi/jansi,,maven,,java,47420
javax.mail/javax.mail-api,,maven,,java,47334
ch.qos.logback/logback-core,,maven,,java,47283
ch.qos.cal10n/cal10n-api,,maven,,java,47246
org.slf4j/slf4j-ext,,maven,,java,47243
ch.qos.logback/logback-classic,,maven,,java,47204
org.apiguardian/apiguardian-api,,maven,,java,46982
org.opentest4j/opentest4j,,maven,,java,46957
org.junit.platform/junit-platform-commons,,maven,,java,46951
org.junit.jupiter/junit-jupiter-api,,maven,,java,46865
org.junit.jupiter/junit-jupiter-params,,maven,,java,45920
org.ow2.asm/asm-test,,maven,,java,45612
org.ow2.asm/asm,,maven,,java,45611
javax.servlet/servlet-api,,maven,,java,44847
commons-io/commons-io,,maven,,java,44412
org.mockito/mockito-all,,maven,,java,44359
org.hamcrest/hamcrest-all,,maven,,java,44287
org.slf4j/slf4j-simple,,maven,,java,43586
org.scala-sbt/test-interface,,maven,,java,43062
org.junit.platform/junit-platform-engine,,maven,,java,42951
org.junit.jupiter/junit-jupiter-engine,,maven,,java,42842
javax.activation/javax.activation-api,,maven,,java,42774
javax.xml.bind/jaxb-api,,maven,,java,42757
javax.inject/javax.inject,,maven,,java,42299
org.javassist/javassist,,maven,,java,42256
com.google.code.findbugs/annotations,,maven,,java,42183
javax.annotation/javax.annotation-api,,maven,,java,42017
org.reactivestreams/reactive-streams,,maven,,java,41843
javax.xml.soap/javax.xml.soap-api,,maven,,java,41757
javax.xml.ws/jaxws-api,,maven,,java,41755
io.reactivex/rxjava,,maven,,java,41542
org.apache-extras.beanshell/bsh,,maven,,java,41529
org.jmock/jmock-testjar,,maven,,java,41526
org.jmock/jmock,,maven,,java,41525
org.jmock/jmock-legacy,,maven,,java,41491
org.jmock/jmock-junit4,,maven,,java,41447
io.projectreactor/reactor-core,,maven,,java,41373
org.infinitest/continuous-testing-toolkit,,maven,,java,41256
net.sf.jopt-simple/jopt-simple,,maven,,java,41255
io.reactivex.rxjava2/rxjava,,maven,,java,41230
org.aspectj/aspectjweaver,,maven,,java,41072
io.netty/netty-buffer,,maven,,java,41018
io.reactivex/rxjava-reactive-streams,,maven,,java,40936
org.springframework/spring-jcl,,maven,,java,40929
org.springframework/spring-core,,maven,,java,40926
org.springframework/spring-beans,,maven,,java,40728
com.typesafe/config,,maven,,java,40573
com.novocode/junit-interface,,maven,,java,40464
org.powermock/powermock-module-junit4,,maven,,java,40374
io.dropwizard.metrics/metrics-core,,maven,,java,40013
com.h2database/h2,,maven,,java,39794
javax.validation/validation-api,,maven,,java,39786
org.hsqldb/hsqldb,,maven,,java,39628
nl.jqno.equalsverifier/equalsverifier,,maven,,java,39470
javax.el/el-api,,maven,,java,39430
org.aspectj/aspectjrt,,maven,,java,39420
javax.servlet.jsp/jsp-api,,maven,,java,39391
javax.transaction/javax.transaction-api,,maven,,java,39326
org.powermock/powermock-api-mockito2,,maven,,java,39320
org.beanshell/bsh,,maven,,java,39292
javax.interceptor/javax.interceptor-api,,maven,,java,39250
com.hazelcast/hazelcast-all,,maven,,java,39175
javax.enterprise.concurrent/javax.enterprise.concurrent-api,,maven,,java,39172
com.jamonapi/jamon,,maven,,java,39160
org.springframework/spring-aop,,maven,,java,39153
org.springframework/spring-expression,,maven,,java,39145
javax.xml.rpc/javax.xml.rpc-api,,maven,,java,39140
javax.ejb/javax.ejb-api,,maven,,java,39139
javax.money/money-api,,maven,,java,39137
org.springframework/spring-instrument,,maven,,java,39136
org.springframework/spring-context,,maven,,java,39135
io.dropwizard.metrics/metrics-healthchecks,,maven,,java,38947
com.github.ben-manes.caffeine/caffeine,,maven,,java,38785
simple-jndi/simple-jndi,,maven,,java,38701
net.sf.ehcache/ehcache,,maven,,java,38666
javax.cache/cache-api,,maven,,java,38663
org.freemarker/freemarker,,maven,,java,38498
org.springframework/spring-tx,,maven,,java,38468
com.mchange/mchange-commons-java,,maven,,java,38417
com.mchange/c3p0,,maven,,java,38400
com.zaxxer/HikariCP-java6,,maven,,java,38336
org.springframework/spring-jdbc,,maven,,java,38333
org.quartz-scheduler/quartz,,maven,,java,38312
org.springframework/spring-context-support,,maven,,java,38171
org.yaml/snakeyaml,,maven,,java,38025
com.beust/jcommander,,maven,,java,37527
org.testng/testng,,maven,,java,37195
org.objenesis/objenesis,,maven,,java,30677
org.droidparts.dexmaker/dexmaker,,maven,,java,29176
org.easymock/easymock,,maven,,java,29174
com.google.code.gson/gson,,maven,,java,26028
org.scala-lang/scala-library,,maven,,java,25563
avalon-framework/avalon-framework,,maven,,java,23309
logkit/logkit,,maven,,java,23308
commons-logging/commons-logging,,maven,,java,23301
com.google.jsinterop/jsinterop-annotations,,maven,,java,20516
com.google.gwt/gwt-user,,maven,,java,20469
cglib/cglib,,maven,,java,19931
com.google.truth/truth,,maven,,java,19778
com.google.guava/guava-testlib,,maven,,java,19517
org.easymock/easymockclassextension,,maven,,java,18830
com.google.protobuf/protobuf-java,,maven,,java,18152
org.jboss.shrinkwrap/shrinkwrap-api,,maven,,java,17198
org.jboss.shrinkwrap/shrinkwrap-spi,,maven,,java,17178
org.jboss.shrinkwrap/shrinkwrap-impl-base,,maven,,java,17177
aopalliance/aopalliance,,maven,,java,17085
javax.inject/javax.inject-tck,,maven,,java,16988
biz.aQute/bnd,,maven,,java,16967
com.google.inject/guice,,maven,,java,16900
com.jcraft/jzlib,,maven,,java,16824
org.codehaus.jettison/jettison,,maven,,java,16593
net.minidev/accessors-smart,,maven,,java,16531
net.minidev/json-smart,,maven,,java,16530
net.jpountz.lz4/lz4,,maven,,java,16404
com.jayway.jsonpath/json-path,,maven,,java,16211
org.jboss.modules/jboss-modules,,maven,,java,16208
org.jboss.marshalling/jboss-marshalling,,maven,,java,16107
org.jboss.marshalling/jboss-marshalling-river,,maven,,java,16088
io.netty/netty-common,,maven,,java,16018
com.ning/compress-lzf,,maven,,java,16016
io.netty/netty-resolver,,maven,,java,16002
io.netty/netty-transport,,maven,,java,16001
org.ow2.asm/asm-tree,,maven,,java,15998
com.github.jponge/lzma-java,,maven,,java,15995
org.jboss.marshalling/jboss-marshalling-serial,,maven,,java,15992
io.netty/netty-codec,,maven,,java,15991
org.ow2.asm/asm-analysis,,maven,,java,15982
org.ow2.asm/asm-util,,maven,,java,15966
io.netty/netty-handler,,maven,,java,15896
org.scala-lang/scala-reflect,,maven,,java,15525
com.google.inject.extensions/guice-assistedinject,,maven,,java,15024
io.netty/netty-codec-http,,maven,,java,15016
org.osgi/org.osgi.core,,maven,,java,14715
org.ow2.asm/asm-commons,,maven,,java,14510
com.google.inject.extensions/guice-multibindings,,maven,,java,14340
org.json/json,,maven,,java,14140
io.netty/netty-codec-socks,,maven,,java,13912
io.netty/netty-handler-proxy,,maven,,java,13911
org.ow2.asm/asm-xml,,maven,,java,13548
com.google.code.java-allocation-instrumenter/java-allocation-instrumenter,,maven,,java,13545
com.google.caliper/caliper,,maven,,java,13539
io.netty/netty-codec-http2,,maven,,java,13505
org.slf4j/slf4j-jdk14,,maven,,java,13498
com.yammer.metrics/metrics-core,,maven,,java,13454
xml-apis/xml-apis,,maven,,java,13390
io.netty/netty-transport-sctp,,maven,,java,13245
xml-resolver/xml-resolver,,maven,,java,13215
xerces/xercesImpl,,maven,,java,13173
jaxen/jaxen,,maven,,java,13159
io.netty/netty-codec-memcache,,maven,,java,13051
io.netty/netty-codec-stomp,,maven,,java,13051
io.netty/netty-example,,maven,,java,13049
javax.el/javax.el-api,,maven,,java,12805
xalan/serializer,,maven,,java,12287
xalan/xalan,,maven,,java,12286
com.barchart.udt/barchart-udt-bundle,,maven,,java,12138
io.netty/netty-transport-udt,,maven,,java,12133
io.netty/netty-codec-dns,,maven,,java,12084
io.netty/netty-resolver-dns,,maven,,java,12083
commons-fileupload/commons-fileupload,,maven,,java,12045
io.netty/netty-codec-haproxy,,maven,,java,12018
org.rxtx/rxtx,,maven,,java,11982
io.netty/netty-transport-rxtx,,maven,,java,11940
io.netty/netty-codec-mqtt,,maven,,java,11940
io.netty/netty-all,,maven,,java,11937
org.slf4j/jcl-over-slf4j,,maven,,java,11533
org.jdom/jdom2,,maven,,java,11303
cglib/cglib-nodep,,maven,,java,11269
org.bouncycastle/bcprov-jdk15on,,maven,,java,11213
org.junit.vintage/junit-vintage-engine,,maven,,java,10882
dom4j/dom4j,,maven,,java,10801
org.powermock/powermock-api-easymock,,maven,,java,10698
commons-codec/commons-codec,,maven,,java,10595
org.jdom/jdom,,maven,,java,10569
javax.servlet.jsp/javax.servlet.jsp-api,,maven,,java,10292
org.jboss.logmanager/jboss-logmanager,,maven,,java,10113
stax/stax-api,,maven,,java,10102
org.jboss.logging/jboss-logging,,maven,,java,10090
jline/jline,,maven,,java,10062
stax/stax,,maven,,java,10061
xom/xom,,maven,,java,10059
jmock/jmock,,maven,,java,10023
org.xmlunit/xmlunit-core,,maven,,java,9907
xmlpull/xmlpull,,maven,,java,9875
org.jboss.logging/jboss-logging-annotations,,maven,,java,9865
org.jboss.jdeparser/jdeparser,,maven,,java,9865
org.jboss.logging/jboss-logging-processor,,maven,,java,9863
org.codehaus.woodstox/wstx-asl,,maven,,java,9848
xpp3/xpp3_min,,maven,,java,9843
com.megginson.sax/xml-writer,,maven,,java,9837
com.thoughtworks.xstream/xstream,,maven,,java,9826
com.flipkart.zjsonpatch/zjsonpatch,,maven,,java,9788
org.xmlunit/xmlunit-legacy,,maven,,java,9785
com.github.tomakehurst/wiremock,,maven,,java,9776
org.scala-lang/scala-compiler,,maven,,java,9681
javax.websocket/javax.websocket-api,,maven,,java,9636
javax.servlet.jsp.jstl/javax.servlet.jsp.jstl-api,,maven,,java,9586
org.bouncycastle/bcpkix-jdk15on,,maven,,java,9465
com.google.protobuf/protobuf-java-util,,maven,,java,9343
com.caucho/hessian,,maven,,java,9256
com.rometools/rome-utils,,maven,,java,9202
com.rometools/rome,,maven,,java,9201
org.springframework/spring-web,,maven,,java,9072
org.jboss.classfilewriter/jboss-classfilewriter,,maven,,java,8812
org.jboss.spec.javax.servlet/jboss-servlet-api_4.0_spec,,maven,,java,8787
org.jboss.threads/jboss-threads,,maven,,java,8517
org.wildfly.common/wildfly-common,,maven,,java,8512
org.wildfly.client/wildfly-client-config,,maven,,java,8481
org.jboss.xnio/xnio-api,,maven,,java,8479
org.jboss.xnio/xnio-nio,,maven,,java,8475
org.seleniumhq.selenium/selenium-api,,maven,,java,8430
org.seleniumhq.selenium/selenium-remote-driver,,maven,,java,8417
org.seleniumhq.selenium/selenium-support,,maven,,java,8384
org.wildfly.openssl/wildfly-openssl,,maven,,java,8313
io.undertow/undertow-parser-generator,,maven,,java,8313
io.undertow/undertow-core,,maven,,java,8312
org.jboss.spec.javax.annotation/jboss-annotations-api_1.2_spec,,maven,,java,8292
org.seleniumhq.selenium/selenium-firefox-driver,,maven,,java,8286
org.seleniumhq.selenium/selenium-chrome-driver,,maven,,java,8276
org.seleniumhq.selenium/selenium-ie-driver,,maven,,java,8257
org.seleniumhq.selenium/selenium-safari-driver,,maven,,java,8129
