package name,version,source,downloads,language
debug,,npmjs,"{'overall': 1468699435, 'last_month': 115041316, 'last_week': 18127813, 'last_year': 1115950030}",javascript
supports-color,,npmjs,"{'overall': 1372079416, 'last_month': 95202305, 'last_week': 13985754, 'last_year': 1085241591}",javascript
readable-stream,,npmjs,"{'overall': 1334527265, 'last_month': 91597278, 'last_week': 14122452, 'last_year': 1005635425}",javascript
source-map,,npmjs,"{'overall': 1241933277, 'last_month': 88096668, 'last_week': 12808513, 'last_year': 958912043}",javascript
kind-of,,npmjs,"{'overall': 1194807682, 'last_month': 99878514, 'last_week': 14734554, 'last_year': 1011682823}",javascript
glob,,npmjs,"{'overall': 1173488034, 'last_month': 74061978, 'last_week': 10891425, 'last_year': 861927933}",javascript
async,,npmjs,"{'overall': 1127476570, 'last_month': 70081955, 'last_week': 10614971, 'last_year': 830533894}",javascript
qs,,npmjs,"{'overall': 1124854805, 'last_month': 66017214, 'last_week': 10339316, 'last_year': 837493462}",javascript
minimist,,npmjs,"{'overall': 1107567982, 'last_month': 76707366, 'last_week': 11568112, 'last_year': 839173865}",javascript
yargs,,npmjs,"{'overall': 1092596099, 'last_month': 75652746, 'last_week': 10593661, 'last_year': 861071617}",javascript
lodash,,npmjs,"{'overall': 1091623650, 'last_month': 69768023, 'last_week': 10835978, 'last_year': 816067899}",javascript
chalk,,npmjs,"{'overall': 1021177473, 'last_month': 70762393, 'last_week': 10490928, 'last_year': 802609395}",javascript
camelcase,,npmjs,"{'overall': 1008422357, 'last_month': 68541536, 'last_week': 9728388, 'last_year': 775587191}",javascript
ms,,npmjs,"{'overall': 998571788, 'last_month': 74195835, 'last_week': 11604685, 'last_year': 736689319}",javascript
commander,,npmjs,"{'overall': 933950957, 'last_month': 73020302, 'last_week': 10753700, 'last_year': 735442945}",javascript
isarray,,npmjs,"{'overall': 914507633, 'last_month': 64872474, 'last_week': 10257605, 'last_year': 688136329}",javascript
semver,,npmjs,"{'overall': 896268480, 'last_month': 64444744, 'last_week': 9502842, 'last_year': 685917260}",javascript
strip-ansi,,npmjs,"{'overall': 876691881, 'last_month': 65921825, 'last_week': 10043857, 'last_year': 666379573}",javascript
string_decoder,,npmjs,"{'overall': 873251083, 'last_month': 63521087, 'last_week': 9942293, 'last_year': 659490765}",javascript
ansi-styles,,npmjs,"{'overall': 854786433, 'last_month': 58408454, 'last_week': 8679111, 'last_year': 655526294}",javascript
punycode,,npmjs,"{'overall': 840671455, 'last_month': 75769290, 'last_week': 12414972, 'last_year': 678467422}",javascript
ansi-regex,,npmjs,"{'overall': 825450140, 'last_month': 62257460, 'last_week': 9529220, 'last_year': 625072863}",javascript
inherits,,npmjs,"{'overall': 818419728, 'last_month': 54015278, 'last_week': 8426840, 'last_year': 597104198}",javascript
acorn,,npmjs,"{'overall': 817668127, 'last_month': 57062039, 'last_week': 8340455, 'last_year': 628820707}",javascript
