package name,version,source,downloads,language
psr/log,,packagist,"{u'last_month': 5247029, u'overall': 143174280, u'last_day': 214927}",php
monolog/monolog,,packagist,"{u'last_month': 4147435, u'overall': 120510984, u'last_day': 179161}",php
symfony/polyfill-mbstring,,packagist,"{u'last_month': 5123392, u'overall': 115918582, u'last_day': 228759}",php
symfony/console,,packagist,"{u'last_month': 4366388, u'overall': 115599149, u'last_day': 173527}",php
symfony/event-dispatcher,,packagist,"{u'last_month': 4034382, u'overall': 114333966, u'last_day': 167308}",php
phpunit/phpunit,,packagist,"{u'last_month': 3518996, u'overall': 105294263, u'last_day': 152513}",php
doctrine/instantiator,,packagist,"{u'last_month': 3903725, u'overall': 104198118, u'last_day': 163943}",php
doctrine/inflector,,packagist,"{u'last_month': 3621703, u'overall': 102517139, u'last_day': 147761}",php
phpunit/php-code-coverage,,packagist,"{u'last_month': 3523572, u'overall': 101840195, u'last_day': 157755}",php
phpunit/php-token-stream,,packagist,"{u'last_month': 3473824, u'overall': 101407216, u'last_day': 142968}",php
phpunit/php-file-iterator,,packagist,"{u'last_month': 3464351, u'overall': 99805048, u'last_day': 156214}",php
symfony/yaml,,packagist,"{u'last_month': 3078000, u'overall': 99739449, u'last_day': 136889}",php
phpunit/php-timer,,packagist,"{u'last_month': 3369602, u'overall': 99521347, u'last_day': 139792}",php
symfony/debug,,packagist,"{u'last_month': 4033937, u'overall': 99231810, u'last_day': 179522}",php
symfony/finder,,packagist,"{u'last_month': 3928876, u'overall': 98039002, u'last_day': 164298}",php
phpunit/php-text-template,,packagist,"{u'last_month': 3320536, u'overall': 97313490, u'last_day': 137782}",php
symfony/process,,packagist,"{u'last_month': 3811473, u'overall': 96188392, u'last_day': 159871}",php
phpunit/phpunit-mock-objects,,packagist,"{u'last_month': 2406933, u'overall': 96001001, u'last_day': 100945}",php
swiftmailer/swiftmailer,,packagist,"{u'last_month': 3118733, u'overall': 95428687, u'last_day': 126533}",php
sebastian/diff,,packagist,"{u'last_month': 3461825, u'overall': 94885469, u'last_day': 156282}",php
sebastian/comparator,,packagist,"{u'last_month': 3371713, u'overall': 93453728, u'last_day': 139798}",php
sebastian/exporter,,packagist,"{u'last_month': 3411580, u'overall': 93231230, u'last_day': 154219}",php
sebastian/environment,,packagist,"{u'last_month': 3463597, u'overall': 92942013, u'last_day': 156765}",php
guzzlehttp/guzzle,,packagist,"{u'last_month': 3865576, u'overall': 92813418, u'last_day': 173308}",php
phpdocumentor/reflection-docblock,,packagist,"{u'last_month': 3569329, u'overall': 92531430, u'last_day': 158942}",php
sebastian/version,,packagist,"{u'last_month': 3323862, u'overall': 92395397, u'last_day': 137817}",php
sebastian/recursion-context,,packagist,"{u'last_month': 3338880, u'overall': 90200162, u'last_day': 141388}",php
phpspec/prophecy,,packagist,"{u'last_month': 3417335, u'overall': 90009993, u'last_day': 155765}",php
paragonie/random_compat,,packagist,"{u'last_month': 3778109, u'overall': 89447388, u'last_day': 155821}",php
psr/http-message,,packagist,"{u'last_month': 4053900, u'overall': 86991567, u'last_day': 171094}",php
doctrine/lexer,,packagist,"{u'last_month': 3458144, u'overall': 86390480, u'last_day': 138352}",php
sebastian/global-state,,packagist,"{u'last_month': 3333284, u'overall': 85277177, u'last_day': 154795}",php
symfony/translation,,packagist,"{u'last_month': 3394953, u'overall': 83812717, u'last_day': 149063}",php
guzzlehttp/psr7,,packagist,"{u'last_month': 4112325, u'overall': 83551194, u'last_day': 183685}",php
symfony/http-foundation,,packagist,"{u'last_month': 3213404, u'overall': 81287677, u'last_day': 131722}",php
doctrine/annotations,,packagist,"{u'last_month': 2481382, u'overall': 79043689, u'last_day': 113546}",php
doctrine/cache,,packagist,"{u'last_month': 2610957, u'overall': 77023324, u'last_day': 120034}",php
guzzlehttp/promises,,packagist,"{u'last_month': 3770655, u'overall': 76603532, u'last_day': 181213}",php
symfony/http-kernel,,packagist,"{u'last_month': 2993642, u'overall': 75184583, u'last_day': 122606}",php
symfony/css-selector,,packagist,"{u'last_month': 2910081, u'overall': 72886324, u'last_day': 119749}",php
doctrine/common,,packagist,"{u'last_month': 2055150, u'overall': 72592269, u'last_day': 95670}",php
symfony/routing,,packagist,"{u'last_month': 2868675, u'overall': 72569525, u'last_day': 116037}",php
webmozart/assert,,packagist,"{u'last_month': 3543079, u'overall': 71823175, u'last_day': 157398}",php
doctrine/collections,,packagist,"{u'last_month': 2101186, u'overall': 71561075, u'last_day': 92367}",php
nikic/php-parser,,packagist,"{u'last_month': 2793638, u'overall': 70908175, u'last_day': 113269}",php
phpdocumentor/type-resolver,,packagist,"{u'last_month': 3386085, u'overall': 68193929, u'last_day': 150941}",php
phpdocumentor/reflection-common,,packagist,"{u'last_month': 3341621, u'overall': 67390315, u'last_day': 134582}",php
doctrine/dbal,,packagist,"{u'last_month': 2258878, u'overall': 67382920, u'last_day': 94027}",php
twig/twig,,packagist,"{u'last_month': 1968906, u'overall': 64546256, u'last_day': 77057}",php
