package name,version,source,downloads,language
pip,,pypi,"{u'last_month': 62872321, u'last_week': 14588922, u'last_day': 2257976}",python
urllib3,,pypi,"{u'last_month': 51010170, u'last_week': 12239269, u'last_day': 1976971}",python
six,,pypi,"{u'last_month': 39539058, u'last_week': 10111737, u'last_day': 1721837}",python
botocore,,pypi,"{'overall': 182783606, u'last_month': 39049243, u'last_week': 9409689, u'last_day': 1411302}",python
python-dateutil,,pypi,"{u'last_month': 37710974, u'last_week': 9187160, u'last_day': 1484711}",python
s3transfer,,pypi,"{u'last_month': 33518551, u'last_week': 8040105, u'last_day': 1299194}",python
docutils,,pypi,"{'overall': 137037304, u'last_month': 31099645, u'last_week': 7531719, u'last_day': 1236135}",python
requests,,pypi,"{u'last_month': 30846770, u'last_week': 7804531, u'last_day': 1293706}",python
setuptools,,pypi,"{u'last_month': 29870529, u'last_week': 7073487, u'last_day': 1227123}",python
pyasn1,,pypi,"{u'last_month': 29659971, u'last_week': 6982399, u'last_day': 1125145}",python
jmespath,,pypi,"{u'last_month': 29013254, u'last_week': 6980170, u'last_day': 1135685}",python
certifi,,pypi,"{u'last_month': 26682060, u'last_week': 6409857, u'last_day': 1008644}",python
rsa,,pypi,"{u'last_month': 26593046, u'last_week': 6381365, u'last_day': 1026201}",python
wheel,,pypi,"{u'last_month': 26148079, u'last_week': 6406528, u'last_day': 1022926}",python
awscli,,pypi,"{u'last_month': 26049142, u'last_week': 6291329, u'last_day': 946023}",python
futures,,pypi,"{u'last_month': 25160300, u'last_week': 6063892, u'last_day': 965178}",python
colorama,,pypi,"{u'last_month': 24322202, u'last_week': 5832908, u'last_day': 909564}",python
idna,,pypi,"{u'last_month': 24234759, u'last_week': 6526928, u'last_day': 1073523}",python
simplejson,,pypi,"{u'last_month': 22413101, u'last_week': 5719827, u'last_day': 976663}",python
chardet,,pypi,"{'overall': 104303984, u'last_month': 22273860, u'last_week': 5658084, u'last_day': 923791}",python
boto3,,pypi,"{u'last_month': 16161026, u'last_week': 3955114, u'last_day': 600255}",python
pytz,,pypi,"{u'last_month': 15247977, u'last_week': 3889314, u'last_day': 610389}",python
cffi,,pypi,"{'overall': 59507339, u'last_month': 13608386, u'last_week': 3388397, u'last_day': 552380}",python
numpy,,pypi,"{u'last_month': 13543892, u'last_week': 3005293, u'last_day': 520986}",python
cryptography,,pypi,"{'overall': 53716501, u'last_month': 12070673, u'last_week': 2889269, u'last_day': 465344}",python
pycparser,,pypi,"{u'last_month': 11769100, u'last_week': 2869954, u'last_day': 455550}",python
awscli-cwlogs,,pypi,"{'overall': 53680541, u'last_month': 11279465, u'last_week': 2675099, u'last_day': 386452}",python
enum34,,pypi,"{u'last_month': 10334457, u'last_week': 2631342, u'last_day': 397338}",python
pbr,,pypi,"{u'last_month': 9815829, u'last_week': 2330598, u'last_day': 367660}",python
