package name,version,source,downloads,language
1to001,,pypi,"{'overall': 10140, u'last_month': 131, u'last_week': 13, u'last_day': 3}",python
3to2_py3k,,pypi,{},python
3xsd,,pypi,"{'overall': 5956, u'last_month': 94, u'last_week': 12, u'last_day': 2}",python
a99,,pypi,"{'overall': 12823, u'last_month': 151, u'last_week': 35, u'last_day': 2}",python
aafp-database-connection,,pypi,"{'overall': 777, u'last_month': 47, u'last_week': 10, u'last_day': 3}",python
aartfaac-arthur,,pypi,"{'overall': 3772, u'last_month': 85, u'last_week': 14, u'last_day': 3}",python
abacusevents,,pypi,"{'overall': 8311, u'last_month': 108, u'last_week': 16, u'last_day': 3}",python
abacusSoftware,,pypi,{},python
abagen,,pypi,"{'overall': 2034, u'last_month': 50, u'last_week': 9, u'last_day': 4}",python
abel-airflow,,pypi,"{'overall': 662, u'last_month': 45, u'last_week': 6, u'last_day': 3}",python
abipy,,pypi,"{'overall': 4870, u'last_month': 203, u'last_week': 42, u'last_day': 5}",python
abjad-ext-cli,,pypi,"{'overall': 2590, u'last_month': 174, u'last_week': 37, u'last_day': 5}",python
aboleth,,pypi,"{'overall': 8462, u'last_month': 127, u'last_week': 20, u'last_day': 4}",python
abrox,,pypi,"{'overall': 697, u'last_month': 40, u'last_week': 7, u'last_day': 2}",python
abstrackr,,pypi,"{'overall': 7871, u'last_month': 96, u'last_week': 17, u'last_day': 3}",python
abstraction,,pypi,"{'overall': 4577, u'last_month': 83, u'last_week': 15, u'last_day': 2}",python
acalang,,pypi,"{'overall': 5185, u'last_month': 81, u'last_week': 20, u'last_day': 2}",python
acaptain,,pypi,"{'overall': 655, u'last_month': 41, u'last_week': 9, u'last_day': 2}",python
accmon,,pypi,"{'overall': 644, u'last_month': 39, u'last_week': 6, u'last_day': 2}",python
accordian,,pypi,"{'overall': 1934, u'last_month': 48, u'last_week': 8, u'last_day': 2}",python
accrocchio,,pypi,"{'overall': 6422, u'last_month': 105, u'last_week': 28, u'last_day': 9}",python
aces,,pypi,"{'overall': 3658, u'last_month': 67, u'last_week': 12, u'last_day': 1}",python
Achilterm,,pypi,{},python
acme,,pypi,"{u'last_month': 522468, u'last_week': 254255, u'last_day': 44417}",python
acme-mgmtserver,,pypi,"{'overall': 2348, u'last_month': 56, u'last_week': 11, u'last_day': 2}",python
acorn,,pypi,"{u'last_month': 120, u'last_week': 17, u'last_day': 3}",python
acoustics-hardware,,pypi,"{u'last_month': 50, u'last_week': 10, u'last_day': 2}",python
acplugins4python,,pypi,"{'overall': 3991, u'last_month': 71, u'last_week': 9, u'last_day': 1}",python
acpype,,pypi,"{'overall': 861, u'last_month': 107, u'last_week': 15, u'last_day': 2}",python
acr-aiosmtpd,,pypi,"{'overall': 2358, u'last_month': 54, u'last_week': 10, u'last_day': 2}",python
acrilib,,pypi,"{'overall': 3500, u'last_month': 93, u'last_week': 21, u'last_day': 3}",python
acrilog,,pypi,"{'overall': 7274, u'last_month': 111, u'last_week': 30, u'last_day': 1}",python
acris,,pypi,"{'overall': 17089, u'last_month': 194, u'last_week': 46, u'last_day': 2}",python
acrylamid,,pypi,"{'overall': 15807, u'last_month': 183, u'last_week': 41, u'last_day': 2}",python
actingweb,,pypi,"{u'last_month': 916, u'last_week': 263, u'last_day': 39}",python
activityio,,pypi,"{'overall': 1626, u'last_month': 62, u'last_week': 12, u'last_day': 2}",python
activitysim,,pypi,"{'overall': 5104, u'last_month': 108, u'last_week': 19, u'last_day': 2}",python
actuariat_python,,pypi,{},python
acumos,,pypi,"{'overall': 19282, u'last_month': 336, u'last_week': 74, u'last_day': 9}",python
acumos-model-runner,,pypi,"{'overall': 3333, u'last_month': 77, u'last_week': 13, u'last_day': 3}",python
adao,,pypi,"{u'last_month': 40, u'last_week': 8, u'last_day': 2}",python
adapterctl,,pypi,"{u'last_month': 154, u'last_week': 33, u'last_day': 2}",python
adcloud-api-py,,pypi,"{'overall': 3717, u'last_month': 75, u'last_week': 11, u'last_day': 0}",python
AD-cs207,,pypi,{},python
added-value,,pypi,"{'overall': 12174, u'last_month': 818, u'last_week': 103, u'last_day': 2}",python
addok,,pypi,"{'overall': 14907, u'last_month': 630, u'last_week': 91, u'last_day': 8}",python
AdHoc,,pypi,{},python
adsbibdesk,,pypi,"{'overall': 2467, u'last_month': 60, u'last_week': 16, u'last_day': 0}",python
adspygoogle,,pypi,"{'overall': 8130, u'last_month': 91, u'last_week': 24, u'last_day': 0}",python
adspygoogle.adwords,,pypi,"{'overall': 4446, u'last_month': 713, u'last_week': 171, u'last_day': 33}",python
adspygoogle.dfp,,pypi,"{'overall': 619, u'last_month': 37, u'last_week': 5, u'last_day': 0}",python
adsutils,,pypi,"{'overall': 1204, u'last_month': 48, u'last_week': 14, u'last_day': 7}",python
ADTthious,,pypi,{},python
Advertools,,pypi,{},python
adys,,pypi,"{'overall': 5274, u'last_month': 2927, u'last_week': 746, u'last_day': 103}",python
Adytum-PyMonitor,,pypi,{},python
aegea,,pypi,"{'overall': 57243, u'last_month': 1728, u'last_week': 312, u'last_day': 45}",python
aenum,,pypi,"{'overall': 463496, u'last_month': 106587, u'last_week': 26265, u'last_day': 4328}",python
aergo-herapy,,pypi,"{'overall': 7492, u'last_month': 3775, u'last_week': 1499, u'last_day': 205}",python
aerisweather,,pypi,"{'overall': 715, u'last_month': 51, u'last_week': 9, u'last_day': 1}",python
aeronaut,,pypi,"{'overall': 1417, u'last_month': 43, u'last_week': 7, u'last_day': 0}",python
Aesthete,,pypi,{},python
afdko,,pypi,"{'overall': 43528, u'last_month': 592, u'last_week': 170, u'last_day': 17}",python
afn,,pypi,{},python
agent-for-sre,,pypi,{},python
agestrucne,,pypi,{},python
agfcc,,pypi,{},python
agnostic-calculator,,pypi,{},python
agn_periodics,,pypi,{},python
Agora-Curator,,pypi,{},python
Agora-Fountain,,pypi,{},python
agora-py,,pypi,{},python
Agora-Scholar,,pypi,{},python
Agora-Stoa,,pypi,{},python
Agora-Stoa-Client,,pypi,{},python
agora-wot,,pypi,{},python
agutil,,pypi,{},python
agx.dev,,pypi,{},python
ahc,,pypi,{},python
ahio,,pypi,{},python
aiida-core,,pypi,{},python
aiida-fleur,,pypi,{},python
AIKIF,,pypi,{},python
aima,,pypi,{},python
aima3,,pypi,{},python
aina,,pypi,{},python
aio2py,,pypi,{},python
aiobittrex,,pypi,"{'overall': 4246, u'last_month': 68, u'last_week': 14, u'last_day': 3}",python
aioboto3,,pypi,"{'overall': 24309, u'last_month': 3872, u'last_week': 942, u'last_day': 140}",python
aiobravado,,pypi,"{'overall': 5182, u'last_month': 216, u'last_week': 33, u'last_day': 8}",python
aiocarbon,,pypi,"{'overall': 8370, u'last_month': 677, u'last_week': 310, u'last_day': 58}",python
aioconsole,,pypi,"{'overall': 20447, u'last_month': 4718, u'last_week': 1525, u'last_day': 193}",python
aioconsul,,pypi,"{'overall': 4418, u'last_month': 81, u'last_week': 17, u'last_day': 2}",python
aiocontext,,pypi,"{'overall': 3147, u'last_month': 319, u'last_week': 53, u'last_day': 15}",python
aiodocker,,pypi,"{'overall': 27773, u'last_month': 2325, u'last_week': 531, u'last_day': 119}",python
aioes,,pypi,"{'overall': 24104, u'last_month': 3414, u'last_week': 856, u'last_day': 157}",python
aioes-ext,,pypi,"{'overall': 624, u'last_month': 38, u'last_week': 8, u'last_day': 2}",python
aio_etcd,,pypi,{},python
aiogcd,,pypi,"{'overall': 6573, u'last_month': 124, u'last_week': 34, u'last_day': 7}",python
aiogoogletrans,,pypi,"{'overall': 7691, u'last_month': 1047, u'last_week': 346, u'last_day': 52}",python
aiogrn,,pypi,"{'overall': 1058, u'last_month': 39, u'last_week': 7, u'last_day': 3}",python
aiohttp,,pypi,"{'overall': 13818119, u'last_month': 1699234, u'last_week': 395341, u'last_day': 47835}",python
aiohttp_ac_hipchat,,pypi,{},python
aiohttp_autoreload,,pypi,{},python
aiohttp_cors,,pypi,{},python
aiohttp_debugtoolbar,,pypi,{},python
aiohttp-devtools,,pypi,"{'overall': 49044, u'last_month': 7294, u'last_week': 1819, u'last_day': 361}",python
aiohttp-jsonrpc,,pypi,"{'overall': 742, u'last_month': 45, u'last_week': 13, u'last_day': 8}",python
aiohttp-negotiate,,pypi,"{'overall': 2779, u'last_month': 54, u'last_week': 10, u'last_day': 2}",python
aiohttp-remotes,,pypi,"{'overall': 10976, u'last_month': 1339, u'last_week': 285, u'last_day': 53}",python
aiohttp_runserver,,pypi,{},python
aiohttp_session,,pypi,{},python
aiohttp_socks,,pypi,{},python
aiohttp-xmlrpc,,pypi,"{'overall': 13452, u'last_month': 829, u'last_week': 173, u'last_day': 32}",python
aioipfs,,pypi,"{'overall': 7390, u'last_month': 132, u'last_week': 13, u'last_day': 3}",python
aioisotp,,pypi,"{'overall': 3256, u'last_month': 798, u'last_week': 265, u'last_day': 42}",python
aio-jsonrpc-2.0,,pypi,"{'overall': 1674, u'last_month': 258, u'last_week': 7, u'last_day': 3}",python
aiokafka,,pypi,"{'overall': 56299, u'last_month': 14854, u'last_week': 3536, u'last_day': 656}",python
aiolifx,,pypi,"{'overall': 19683, u'last_month': 2352, u'last_week': 756, u'last_day': 136}",python
aiomanhole,,pypi,"{'overall': 6978, u'last_month': 1750, u'last_week': 264, u'last_day': 39}",python
aiomisc,,pypi,"{'overall': 38893, u'last_month': 1339, u'last_week': 428, u'last_day': 66}",python
aiomongodel,,pypi,"{'overall': 2874, u'last_month': 202, u'last_week': 57, u'last_day': 6}",python
aiomonitor,,pypi,"{'overall': 9885, u'last_month': 1707, u'last_week': 523, u'last_day': 102}",python
aiomqtt,,pypi,"{'overall': 2458, u'last_month': 224, u'last_week': 54, u'last_day': 8}",python
aionsq,,pypi,"{'overall': 1078, u'last_month': 51, u'last_week': 9, u'last_day': 3}",python
aioopenssl,,pypi,"{'overall': 6902, u'last_month': 1405, u'last_week': 332, u'last_day': 35}",python
aioouimeaux,,pypi,"{'overall': 1755, u'last_month': 65, u'last_week': 14, u'last_day': 2}",python
aioping,,pypi,"{'overall': 2207, u'last_month': 158, u'last_week': 23, u'last_day': 5}",python
aio_ping,,pypi,{},python
aiopvapi,,pypi,"{'overall': 32457, u'last_month': 1436, u'last_week': 313, u'last_day': 68}",python
aiopy,,pypi,"{'overall': 600, u'last_month': 37, u'last_week': 5, u'last_day': 1}",python
aioredis,,pypi,"{'overall': 442178, u'last_month': 106467, u'last_week': 25148, u'last_day': 4899}",python
aioreloader,,pypi,"{'overall': 5955, u'last_month': 483, u'last_week': 115, u'last_day': 19}",python
aiorest-ws,,pypi,"{'overall': 3139, u'last_month': 127, u'last_week': 26, u'last_day': 4}",python
aiortc,,pypi,"{'overall': 14339, u'last_month': 1580, u'last_week': 476, u'last_day': 63}",python
aiosasl,,pypi,"{'overall': 5655, u'last_month': 1572, u'last_week': 470, u'last_day': 59}",python
aiosmtplib,,pypi,"{u'last_month': 9570, u'last_week': 1389, u'last_day': 247}",python
aioswagger11,,pypi,"{'overall': 1634, u'last_month': 59, u'last_week': 13, u'last_day': 4}",python
aiotarantool,,pypi,"{'overall': 7372, u'last_month': 388, u'last_week': 69, u'last_day': 11}",python
aiotasks,,pypi,"{u'last_month': 62, u'last_week': 15, u'last_day': 1}",python
aio-tcpserver,,pypi,"{'overall': 2072, u'last_month': 67, u'last_week': 12, u'last_day': 2}",python
aiotf,,pypi,"{u'last_month': 62, u'last_week': 7, u'last_day': 3}",python
aiotg,,pypi,"{'overall': 32339, u'last_month': 510, u'last_week': 79, u'last_day': 7}",python
aiotk,,pypi,"{'overall': 4196, u'last_month': 85, u'last_week': 13, u'last_day': 3}",python
aiovault,,pypi,"{u'last_month': 127, u'last_week': 19, u'last_day': 6}",python
aiowebsocketclient,,pypi,"{'overall': 2383, u'last_month': 55, u'last_week': 11, u'last_day': 2}",python
aiowerkzeug,,pypi,{},python
aio_windows_patch,,pypi,{},python
aiowinrm,,pypi,{},python
aioworkerpool,,pypi,"{u'last_month': 49, u'last_week': 8, u'last_day': 2}",python
aioworkers,,pypi,"{u'last_month': 1355, u'last_week': 94, u'last_day': 8}",python
aioxiaomi,,pypi,"{'overall': 2520, u'last_month': 53, u'last_week': 9, u'last_day': 2}",python
aioxmpp,,pypi,"{'overall': 9261, u'last_month': 598, u'last_week': 218, u'last_day': 20}",python
aioyoyo,,pypi,"{'overall': 3120, u'last_month': 45, u'last_week': 5, u'last_day': 1}",python
aiozeroconf,,pypi,"{'overall': 3893, u'last_month': 277, u'last_week': 74, u'last_day': 13}",python
aiozmq,,pypi,"{'overall': 31792, u'last_month': 2925, u'last_week': 494, u'last_day': 92}",python
aipy,,pypi,"{'overall': 14100, u'last_month': 436, u'last_week': 157, u'last_day': 28}",python
aiqterminal,,pypi,"{u'last_month': 41, u'last_week': 6, u'last_day': 2}",python
aircable-library-op,,pypi,"{'overall': 3232, u'last_month': 70, u'last_week': 17, u'last_day': 2}",python
airypi-rpi,,pypi,"{u'last_month': 35, u'last_week': 5, u'last_day': 2}",python
aiscalator,,pypi,"{'overall': 8469, u'last_month': 2840, u'last_week': 766, u'last_day': 102}",python
ais-dom,,pypi,"{'overall': 86593, u'last_month': 2463, u'last_week': 960, u'last_day': 227}",python
AISTLAB_novel_grab,,pypi,{},python
aiven-client,,pypi,"{u'last_month': 179, u'last_week': 38, u'last_day': 2}",python
aj,,pypi,"{u'last_month': 3225, u'last_week': 732, u'last_day': 85}",python
ajenti,,pypi,"{'overall': 67887, u'last_month': 768, u'last_week': 161, u'last_day': 6}",python
ajenti-panel,,pypi,"{'overall': 52785, u'last_month': 3186, u'last_week': 766, u'last_day': 88}",python
ajenti.plugin.terminal,,pypi,"{'overall': 25531, u'last_month': 2765, u'last_week': 641, u'last_day': 75}",python
akeyless,,pypi,"{'overall': 8234, u'last_month': 153, u'last_week': 25, u'last_day': 4}",python
akkdict,,pypi,"{'overall': 2386, u'last_month': 62, u'last_week': 10, u'last_day': 3}",python
ak-M2Crypto,,pypi,{},python
alauda-celery,,pypi,"{'overall': 767, u'last_month': 83, u'last_week': 39, u'last_day': 24}",python
alchemist,,pypi,{},python
alchemlyb,,pypi,"{'overall': 1613, u'last_month': 62, u'last_week': 11, u'last_day': 2}",python
aldryn-django,,pypi,"{'overall': 1143, u'last_month': 56, u'last_week': 13, u'last_day': 4}",python
alembic,,pypi,"{'overall': 5628707, u'last_month': 1355142, u'last_week': 260973, u'last_day': 46573}",python
alerta,,pypi,"{'overall': 61680, u'last_month': 3225, u'last_week': 698, u'last_day': 91}",python
alerta-server,,pypi,"{'overall': 107665, u'last_month': 2301, u'last_week': 568, u'last_day': 61}",python
alfajor,,pypi,"{'overall': 624, u'last_month': 37, u'last_week': 5, u'last_day': 0}",python
alfREST,,pypi,{},python
algebraixlib,,pypi,"{'overall': 4612, u'last_month': 69, u'last_week': 12, u'last_day': 0}",python
algoliasearchasync,,pypi,"{u'last_month': 473, u'last_week': 212, u'last_day': 28}",python
algo-magic,,pypi,"{'overall': 6834, u'last_month': 90, u'last_week': 18, u'last_day': 1}",python
algopy,,pypi,"{'overall': 64661, u'last_month': 8005, u'last_week': 1788, u'last_day': 467}",python
algorithms,,pypi,"{'overall': 3414, u'last_month': 268, u'last_week': 47, u'last_day': 6}",python
aliasfile,,pypi,"{'overall': 2482, u'last_month': 66, u'last_week': 12, u'last_day': 0}",python
alib,,pypi,"{'overall': 631, u'last_month': 41, u'last_week': 5, u'last_day': 0}",python
alicloudcli,,pypi,"{'overall': 1485, u'last_month': 40, u'last_week': 7, u'last_day': 0}",python
alidock,,pypi,"{'overall': 10554, u'last_month': 7352, u'last_week': 2250, u'last_day': 311}",python
alignak_checks_glances,,pypi,{},python
alitvb,,pypi,"{'overall': 1111, u'last_month': 48, u'last_week': 8, u'last_day': 0}",python
aliyuncli,,pypi,"{'overall': 12957, u'last_month': 480, u'last_week': 85, u'last_day': 15}",python
aljp-messagemedia-rest-api,,pypi,"{'overall': 662, u'last_month': 38, u'last_week': 9, u'last_day': 0}",python
alkali,,pypi,"{'overall': 1948, u'last_month': 46, u'last_week': 8, u'last_day': 0}",python
Allegra,,pypi,{},python
Allegro,,pypi,{},python
allennlp,,pypi,{},python
allensdk,,pypi,{},python
allianceauth,,pypi,{},python
allspark,,pypi,{},python
ally-py,,pypi,{},python
alo7-airflow,,pypi,{},python
aloe,,pypi,{},python
alpakka,,pypi,{},python
alpha-factory,,pypi,{},python
alphapy,,pypi,{},python
alphatwirl,,pypi,{},python
altgraph,,pypi,{},python
altitude,,pypi,{},python
alv,,pypi,{},python
alx,,pypi,{},python
amara3-iri,,pypi,{},python
amara3-xml,,pypi,{},python
amatino,,pypi,{},python
amaze,,pypi,{},python
amazon_pay,,pypi,{},python
ambition,,pypi,{},python
amonitor,,pypi,"{'overall': 3184, u'last_month': 2090, u'last_week': 515, u'last_day': 57}",python
AMP,,pypi,{},python
amp-atomistics,,pypi,"{'overall': 922, u'last_month': 120, u'last_week': 32, u'last_day': 4}",python
amplimap,,pypi,"{'overall': 6250, u'last_month': 1545, u'last_week': 553, u'last_day': 73}",python
AMQPDeliver,,pypi,{},python
anaconda-project,,pypi,"{'overall': 7412, u'last_month': 1223, u'last_week': 298, u'last_day': 39}",python
anadama2,,pypi,"{'overall': 1607, u'last_month': 77, u'last_week': 15, u'last_day': 2}",python
anafit,,pypi,"{'overall': 2438, u'last_month': 57, u'last_week': 12, u'last_day': 2}",python
analytic,,pypi,"{'overall': 1352, u'last_month': 48, u'last_week': 7, u'last_day': 3}",python
analyticlab,,pypi,"{'overall': 7561, u'last_month': 117, u'last_week': 20, u'last_day': 4}",python
ananas,,pypi,"{'overall': 13340, u'last_month': 161, u'last_week': 24, u'last_day': 4}",python
anax,,pypi,"{'overall': 1221, u'last_month': 91, u'last_week': 15, u'last_day': 5}",python
andes,,pypi,"{'overall': 3317, u'last_month': 68, u'last_week': 11, u'last_day': 2}",python
android-gendimen,,pypi,"{'overall': 610, u'last_month': 39, u'last_week': 7, u'last_day': 3}",python
androidtest,,pypi,"{'overall': 2490, u'last_month': 49, u'last_week': 10, u'last_day': 2}",python
anel-pwrctrl-homeassistant,,pypi,"{'overall': 6822, u'last_month': 1224, u'last_week': 284, u'last_day': 66}",python
anglerfish,,pypi,"{'overall': 6422, u'last_month': 278, u'last_week': 49, u'last_day': 4}",python
angr,,pypi,"{'overall': 58827, u'last_month': 5344, u'last_week': 2305, u'last_day': 180}",python
angreal,,pypi,"{'overall': 11237, u'last_month': 142, u'last_week': 20, u'last_day': 3}",python
anicode,,pypi,"{'overall': 1071, u'last_month': 40, u'last_week': 6, u'last_day': 2}",python
anidb-mv,,pypi,"{'overall': 750, u'last_month': 42, u'last_week': 6, u'last_day': 2}",python
anikom15,,pypi,"{'overall': 11006, u'last_month': 150, u'last_week': 34, u'last_day': 3}",python
anillo_auth,,pypi,{},python
animatai,,pypi,"{'overall': 11382, u'last_month': 139, u'last_week': 34, u'last_day': 2}",python
animatplot,,pypi,"{'overall': 4227, u'last_month': 187, u'last_week': 56, u'last_day': 38}",python
animats,,pypi,"{'overall': 7317, u'last_month': 96, u'last_week': 21, u'last_day': 2}",python
anki_tool,,pypi,{},python
anm,,pypi,"{'overall': 1597, u'last_month': 49, u'last_week': 10, u'last_day': 2}",python
ANNarchy,,pypi,{},python
anndata,,pypi,"{'overall': 38570, u'last_month': 1682, u'last_week': 388, u'last_day': 107}",python
annotate_regions,,pypi,{},python
annotation-refinery,,pypi,"{'overall': 1029, u'last_month': 40, u'last_week': 7, u'last_day': 2}",python
annotypes,,pypi,"{'overall': 5422, u'last_month': 108, u'last_week': 20, u'last_day': 3}",python
anomalous,,pypi,"{'overall': 6626, u'last_month': 81, u'last_week': 14, u'last_day': 1}",python
anoncreds,,pypi,"{'overall': 11887, u'last_month': 174, u'last_week': 45, u'last_day': 2}",python
anoncreds-dev,,pypi,"{u'last_month': 458, u'last_week': 111, u'last_day': 2}",python
anoncreds-rc,,pypi,"{'overall': 11741, u'last_month': 144, u'last_week': 35, u'last_day': 1}",python
anoncreds-repo-merge,,pypi,"{'overall': 1055, u'last_month': 44, u'last_week': 9, u'last_day': 2}",python
ansible,,pypi,"{u'last_month': 1499057, u'last_week': 346727, u'last_day': 54998}",python
ansible-alicloud,,pypi,"{u'last_month': 261, u'last_week': 54, u'last_day': 4}",python
ansible-bender,,pypi,{},python
ansible-kkvesper,,pypi,"{u'last_month': 38, u'last_week': 7, u'last_day': 2}",python
antares-apps,,pypi,"{'overall': 1075, u'last_month': 51, u'last_week': 11, u'last_day': 3}",python
anthill.querytool,,pypi,"{u'last_month': 39, u'last_week': 6, u'last_day': 2}",python
