package name,version,source,downloads,language
rspec-core,,rubygems,{'overall': 350185185},ruby
rspec-expectations,,rubygems,{'overall': 349226511},ruby
diff-lcs,,rubygems,{'overall': 349041522},ruby
rspec-mocks,,rubygems,{'overall': 347924722},ruby
rspec,,rubygems,{'overall': 330057453},ruby
rspec-support,,rubygems,{'overall': 322642961},ruby
bundler,,rubygems,{'overall': 279185720},ruby
multi_json,,rubygems,{'overall': 250413977},ruby
rack,,rubygems,{'overall': 249830627},ruby
rake,,rubygems,{'overall': 245353984},ruby
rubygems-update,,rubygems,{'overall': 241742310},ruby
json,,rubygems,{'overall': 230363664},ruby
mime-types,,rubygems,{'overall': 226822388},ruby
i18n,,rubygems,{'overall': 224050671},ruby
activesupport,,rubygems,{'overall': 223126757},ruby
thor,,rubygems,{'overall': 213589800},ruby
tzinfo,,rubygems,{'overall': 208989840},ruby
nokogiri,,rubygems,{'overall': 198242326},ruby
builder,,rubygems,{'overall': 192645484},ruby
minitest,,rubygems,{'overall': 170744216},ruby
tilt,,rubygems,{'overall': 167484556},ruby
thread_safe,,rubygems,{'overall': 167261108},ruby
activemodel,,rubygems,{'overall': 162351046},ruby
activerecord,,rubygems,{'overall': 160218134},ruby
rails,,rubygems,{'overall': 153752399},ruby
actionpack,,rubygems,{'overall': 153469631},ruby
sass,,rubygems,{'overall': 153014718},ruby
rack-test,,rubygems,{'overall': 152283815},ruby
arel,,rubygems,{'overall': 149821937},ruby
actionmailer,,rubygems,{'overall': 149004848},ruby
mail,,rubygems,{'overall': 148099301},ruby
erubis,,rubygems,{'overall': 145919564},ruby
railties,,rubygems,{'overall': 144168945},ruby
ffi,,rubygems,{'overall': 140106000},ruby
sprockets,,rubygems,{'overall': 137595254},ruby
aws-sdk,,rubygems,{'overall': 126260482},ruby
addressable,,rubygems,{'overall': 125378648},ruby
faraday,,rubygems,{'overall': 123785490},ruby
multipart-post,,rubygems,{'overall': 115677206},ruby
execjs,,rubygems,{'overall': 114960620},ruby
aws-sdk-core,,rubygems,{'overall': 110244875},ruby
uglifier,,rubygems,{'overall': 108185068},ruby
coffee-script-source,,rubygems,{'overall': 103407978},ruby
actionview,,rubygems,{'overall': 102462893},ruby
sprockets-rails,,rubygems,{'overall': 102356333},ruby
jquery-rails,,rubygems,{'overall': 101728900},ruby
sass-rails,,rubygems,{'overall': 100250378},ruby
daemons,,rubygems,{'overall': 99840882},ruby
method_source,,rubygems,{'overall': 99411128},ruby
aws-sdk-resources,,rubygems,{'overall': 98770822},ruby
coffee-script,,rubygems,{'overall': 97781810},ruby
concurrent-ruby,,rubygems,{'overall': 96504200},ruby
mini_portile2,,rubygems,{'overall': 95998735},ruby
coderay,,rubygems,{'overall': 92791508},ruby
coffee-rails,,rubygems,{'overall': 91609045},ruby
rest-client,,rubygems,{'overall': 91516030},ruby
activejob,,rubygems,{'overall': 90106202},ruby
loofah,,rubygems,{'overall': 89431194},ruby
rails-dom-testing,,rubygems,{'overall': 88986402},ruby
rubygems-bundler,,rubygems,{'overall': 88840802},ruby
pry,,rubygems,{'overall': 88173721},ruby
net-ssh,,rubygems,{'overall': 87559012},ruby
rails-html-sanitizer,,rubygems,{'overall': 85457147},ruby
globalid,,rubygems,{'overall': 84922305},ruby
jmespath,,rubygems,{'overall': 82530493},ruby
rubyzip,,rubygems,{'overall': 80949791},ruby
eventmachine,,rubygems,{'overall': 78374307},ruby
redis,,rubygems,{'overall': 78301763},ruby
rack-protection,,rubygems,{'overall': 77869807},ruby
netrc,,rubygems,{'overall': 75993017},ruby
sinatra,,rubygems,{'overall': 75615788},ruby
rb-fsevent,,rubygems,{'overall': 75505709},ruby
excon,,rubygems,{'overall': 73039735},ruby
slop,,rubygems,{'overall': 72729876},ruby
rb-inotify,,rubygems,{'overall': 72090871},ruby
unf_ext,,rubygems,{'overall': 71689185},ruby
multi_xml,,rubygems,{'overall': 71274293},ruby
domain_name,,rubygems,{'overall': 71079013},ruby
unf,,rubygems,{'overall': 70845106},ruby
jbuilder,,rubygems,{'overall': 70396512},ruby
hike,,rubygems,{'overall': 69438984},ruby
mime-types-data,,rubygems,{'overall': 69109091},ruby
rdoc,,rubygems,{'overall': 68475746},ruby
hashie,,rubygems,{'overall': 67328647},ruby
http-cookie,,rubygems,{'overall': 64806318},ruby
pg,,rubygems,{'overall': 64541003},ruby
awesome_print,,rubygems,{'overall': 64410399},ruby
public_suffix,,rubygems,{'overall': 64030459},ruby
highline,,rubygems,{'overall': 61480767},ruby
mini_portile,,rubygems,{'overall': 60184865},ruby
rails-deprecated_sanitizer,,rubygems,{'overall': 59453883},ruby
jwt,,rubygems,{'overall': 58356306},ruby
net-scp,,rubygems,{'overall': 58347334},ruby
aws-sigv4,,rubygems,{'overall': 57800359},ruby
polyglot,,rubygems,{'overall': 57374482},ruby
turbolinks,,rubygems,{'overall': 56650426},ruby
treetop,,rubygems,{'overall': 56408390},ruby
httparty,,rubygems,{'overall': 54830932},ruby
ruby-progressbar,,rubygems,{'overall': 54600760},ruby
mysql2,,rubygems,{'overall': 54597110},ruby
byebug,,rubygems,{'overall': 53908547},ruby
simplecov,,rubygems,{'overall': 53110069},ruby
faraday_middleware,,rubygems,{'overall': 52940607},ruby
rspec-rails,,rubygems,{'overall': 52604364},ruby
sqlite3,,rubygems,{'overall': 52559112},ruby
simplecov-html,,rubygems,{'overall': 52295605},ruby
formatador,,rubygems,{'overall': 51637433},ruby
rainbow,,rubygems,{'overall': 51478562},ruby
childprocess,,rubygems,{'overall': 51387593},ruby
docile,,rubygems,{'overall': 50883777},ruby
capybara,,rubygems,{'overall': 50478114},ruby
sdoc,,rubygems,{'overall': 49696508},ruby
thin,,rubygems,{'overall': 49499875},ruby
unicode-display_width,,rubygems,{'overall': 47931804},ruby
bcrypt,,rubygems,{'overall': 47552373},ruby
parser,,rubygems,{'overall': 47545608},ruby
xpath,,rubygems,{'overall': 46609516},ruby
safe_yaml,,rubygems,{'overall': 45882127},ruby
rubocop,,rubygems,{'overall': 45591904},ruby
activeresource,,rubygems,{'overall': 45219503},ruby
newrelic_rpm,,rubygems,{'overall': 45166102},ruby
ast,,rubygems,{'overall': 44947166},ruby
websocket-driver,,rubygems,{'overall': 44689182},ruby
httpclient,,rubygems,{'overall': 43872984},ruby
puma,,rubygems,{'overall': 43704354},ruby
listen,,rubygems,{'overall': 43678516},ruby
warden,,rubygems,{'overall': 43115730},ruby
haml,,rubygems,{'overall': 42981165},ruby
devise,,rubygems,{'overall': 42483151},ruby
crack,,rubygems,{'overall': 41961077},ruby
websocket-extensions,,rubygems,{'overall': 41650988},ruby
launchy,,rubygems,{'overall': 41624474},ruby
dotenv,,rubygems,{'overall': 41443391},ruby
webmock,,rubygems,{'overall': 41409952},ruby
xml-simple,,rubygems,{'overall': 41239109},ruby
parallel,,rubygems,{'overall': 40778118},ruby
connection_pool,,rubygems,{'overall': 40692426},ruby
powerpack,,rubygems,{'overall': 40574770},ruby
factory_girl,,rubygems,{'overall': 40370004},ruby
selenium-webdriver,,rubygems,{'overall': 40050203},ruby
orm_adapter,,rubygems,{'overall': 39898254},ruby
responders,,rubygems,{'overall': 38909295},ruby
database_cleaner,,rubygems,{'overall': 38810459},ruby
ipaddress,,rubygems,{'overall': 37974306},ruby
json_pure,,rubygems,{'overall': 37731705},ruby
kgio,,rubygems,{'overall': 36876048},ruby
chunky_png,,rubygems,{'overall': 36859957},ruby
redis-namespace,,rubygems,{'overall': 35975929},ruby
kaminari,,rubygems,{'overall': 35504716},ruby
nio4r,,rubygems,{'overall': 35443470},ruby
raindrops,,rubygems,{'overall': 35404769},ruby
fog-core,,rubygems,{'overall': 35244003},ruby
unicorn,,rubygems,{'overall': 35046877},ruby
timecop,,rubygems,{'overall': 34187382},ruby
libv8,,rubygems,{'overall': 33575478},ruby
spring,,rubygems,{'overall': 33274576},ruby
CFPropertyList,,rubygems,{'overall': 33163754},ruby
factory_girl_rails,,rubygems,{'overall': 33054470},ruby
oauth2,,rubygems,{'overall': 32914892},ruby
sidekiq,,rubygems,{'overall': 32872048},ruby
timers,,rubygems,{'overall': 31984442},ruby
rack-cache,,rubygems,{'overall': 31734775},ruby
fog-json,,rubygems,{'overall': 31720792},ruby
faker,,rubygems,{'overall': 31308310},ruby
celluloid,,rubygems,{'overall': 31151794},ruby
uuidtools,,rubygems,{'overall': 30820583},ruby
fog,,rubygems,{'overall': 30719765},ruby
terminal-table,,rubygems,{'overall': 30403947},ruby
request_store,,rubygems,{'overall': 30183150},ruby
debug_inspector,,rubygems,{'overall': 30015078},ruby
hashdiff,,rubygems,{'overall': 29232868},ruby
therubyracer,,rubygems,{'overall': 29105223},ruby
http_parser.rb,,rubygems,{'overall': 29037805},ruby
fog-aws,,rubygems,{'overall': 28953226},ruby
aws-sdk-v1,,rubygems,{'overall': 28555404},ruby
signet,,rubygems,{'overall': 28467166},ruby
logging,,rubygems,{'overall': 28442749},ruby
oj,,rubygems,{'overall': 28335435},ruby
rack-ssl,,rubygems,{'overall': 28069817},ruby
trollop,,rubygems,{'overall': 28030411},ruby
autoprefixer-rails,,rubygems,{'overall': 27981764},ruby
